director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,tags
Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action Adventure Sci-Fi,2012,Action Adventure Sci-Fi 2012 Oliver Platt Liam James Tom McCarthy Roland Emmerich
Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation Drama Family Fantasy,a christmas carol,Animation Drama Family Fantasy a christmas carol Robin Wright Colin Firth Gary Oldman Robert Zemeckis
Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action Adventure Sci-Fi,jupiter ascending,Action Adventure Sci-Fi jupiter ascending Channing Tatum Mila Kunis Eddie Redmayne Lana Wachowski
Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure Family Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe","Adventure Family Fantasy the chronicles of narnia: the lion, the witch and the wardrobe Jim Broadbent Kiran Shah Shane Rangi Andrew Adamson"
Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action Adventure Sci-Fi,x-men: apocalypse,Action Adventure Sci-Fi x-men: apocalypse Jennifer Lawrence Michael Fassbender Tye Sheridan Bryan Singer
Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action Crime Drama Thriller,the dark knight,Action Crime Drama Thriller the dark knight Christian Bale Heath Ledger Morgan Freeman Christopher Nolan
Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure Animation Comedy Family,up,Adventure Animation Comedy Family up John Ratzenberger Delroy Lindo Jess Harnell Pete Docter
Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action Adventure Animation Comedy Family Sci-Fi,monsters vs. aliens,Action Adventure Animation Comedy Family Sci-Fi monsters vs. aliens Amy Poehler Rainn Wilson Stephen Colbert Rob Letterman
Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action Adventure Sci-Fi,iron man,Action Adventure Sci-Fi iron man Robert Downey Jr. Jeff Bridges Jon Favreau Jon Favreau
Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure Drama Family Mystery,hugo,Adventure Drama Family Mystery hugo Chloë Grace Moretz Christopher Lee Ray Winstone Martin Scorsese
Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action Comedy Sci-Fi Western,wild wild west,Action Comedy Sci-Fi Western wild wild west Will Smith Salma Hayek Bai Ling Barry Sonnenfeld
Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Action Adventure Fantasy Horror Thriller,the mummy: tomb of the dragon emperor,Action Adventure Fantasy Horror Thriller the mummy: tomb of the dragon emperor Jet Li Brendan Fraser Russell Wong Rob Cohen
David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action Adventure Comedy Sci-Fi,suicide squad,Action Adventure Comedy Sci-Fi suicide squad Will Smith Robin Atkin Downes Ike Barinholtz David Ayer
Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy Family Fantasy,evan almighty,Comedy Family Fantasy evan almighty Jimmy Bennett Morgan Freeman Steve Carell Tom Shadyac
Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Action Adventure Sci-Fi,edge of tomorrow,Action Adventure Sci-Fi edge of tomorrow Tom Cruise Lara Pulver Noah Taylor Doug Liman
Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action Adventure Sci-Fi Thriller,waterworld,Action Adventure Sci-Fi Thriller waterworld Jeanne Tripplehorn Rick Aviles Zakes Mokae Kevin Reynolds
Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action Adventure Sci-Fi Thriller,g.i. joe: the rise of cobra,Action Adventure Sci-Fi Thriller g.i. joe: the rise of cobra Joseph Gordon-Levitt Dennis Quaid Leo Howard Stephen Sommers
Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure Animation Comedy Drama Family Fantasy,inside out,Adventure Animation Comedy Drama Family Fantasy inside out Amy Poehler Mindy Kaling Phyllis Smith Pete Docter
Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action Adventure Sci-Fi,iron man 2,Action Adventure Sci-Fi iron man 2 Robert Downey Jr. Scarlett Johansson Jon Favreau Jon Favreau
Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action Adventure Drama Fantasy,snow white and the huntsman,Action Adventure Drama Fantasy snow white and the huntsman Chris Hemsworth Kristen Stewart Sam Claflin Rupert Sanders
Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action Adventure Family Fantasy Romance,maleficent,Action Adventure Family Fantasy Romance maleficent Angelina Jolie Pitt Sharlto Copley Sam Riley Robert Stromberg
Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Action Adventure Drama Sci-Fi,dawn of the planet of the apes,Action Adventure Drama Sci-Fi dawn of the planet of the apes Gary Oldman Judy Greer Kodi Smit-McPhee Matt Reeves
Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action Adventure Drama Fantasy,47 ronin,Action Adventure Drama Fantasy 47 ronin Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Carl Rinsch
Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,Action Adventure Sci-Fi,captain america: the winter soldier,Action Adventure Sci-Fi captain america: the winter soldier Scarlett Johansson Chris Evans Hayley Atwell Anthony Russo
Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,Adventure Animation Comedy Family Fantasy,shrek forever after,Adventure Animation Comedy Family Fantasy shrek forever after Jon Hamm Kathy Griffin Mary Kay Place Mike Mitchell
Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,Action Adventure Family Mystery Sci-Fi,tomorrowland,Action Adventure Family Mystery Sci-Fi tomorrowland Judy Greer Chris Bauer Thomas Robinson Brad Bird
Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Action Adventure Animation Comedy Drama Family Sci-Fi,big hero 6,Action Adventure Animation Comedy Drama Family Sci-Fi big hero 6 Damon Wayans Jr. Daniel Henney Abraham Benrubi Don Hall
Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Adventure Animation Comedy Family Sci-Fi,wreck-it ralph,Adventure Animation Comedy Family Sci-Fi wreck-it ralph Jack McBrayer Sarah Silverman Joe Lo Truglio Rich Moore
Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,Adventure Animation Family Fantasy,the polar express,Adventure Animation Family Fantasy the polar express Tom Hanks Eddie Deezen Peter Scolari Robert Zemeckis
Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,Action Adventure Sci-Fi,independence day: resurgence,Action Adventure Sci-Fi independence day: resurgence Vivica A. Fox Sela Ward Judd Hirsch Roland Emmerich
Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,Adventure Animation Family Fantasy,how to train your dragon,Adventure Animation Family Fantasy how to train your dragon Gerard Butler America Ferrera Craig Ferguson Dean DeBlois
Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Action Sci-Fi,terminator 3: rise of the machines,Action Sci-Fi terminator 3: rise of the machines Nick Stahl M.C. Gainey Carolyn Hennesy Jonathan Mostow
James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,Action Adventure Sci-Fi,guardians of the galaxy,Action Adventure Sci-Fi guardians of the galaxy Bradley Cooper Vin Diesel Djimon Hounsou James Gunn
Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Adventure Drama Sci-Fi,interstellar,Adventure Drama Sci-Fi interstellar Matthew McConaughey Anne Hathaway Mackenzie Foy Christopher Nolan
Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller,inception,Action Adventure Sci-Fi Thriller inception Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Christopher Nolan
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: an unexpected journey,Adventure Fantasy the hobbit: an unexpected journey Aidan Turner Adam Brown James Nesbitt Peter Jackson
David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,Drama Fantasy Romance,the curious case of benjamin button,Drama Fantasy Romance the curious case of benjamin button Brad Pitt Jason Flemyng Julia Ormond David Fincher
Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Action Adventure Sci-Fi,x-men: first class,Action Adventure Sci-Fi x-men: first class Jennifer Lawrence Michael Fassbender Oliver Platt Matthew Vaughn
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi,the hunger games: mockingjay - part 2,Adventure Sci-Fi the hunger games: mockingjay - part 2 Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence
Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,Action Adventure Family Fantasy,the sorcerer's apprentice,Action Adventure Family Fantasy the sorcerer's apprentice Nicolas Cage Omar Benson Miller Robert Capron Jon Turteltaub
Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,Action Adventure Drama Thriller,poseidon,Action Adventure Drama Thriller poseidon Jimmy Bennett Mike Vogel Andre Braugher Wolfgang Petersen
James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,alice through the looking glass,Adventure Family Fantasy alice through the looking glass Johnny Depp Alan Rickman Anne Hathaway James Bobin
Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,Adventure Animation Comedy Family Fantasy,shrek the third,Adventure Animation Comedy Family Fantasy shrek the third Justin Timberlake Eric Idle Rupert Everett Chris Miller
Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,Action Adventure Fantasy,warcraft,Action Adventure Fantasy warcraft Dominic Cooper Callum Rennie Ruth Negga Duncan Jones
Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,Action Adventure Sci-Fi,terminator genisys,Action Adventure Sci-Fi terminator genisys J.K. Simmons Emilia Clarke Matt Smith Alan Taylor
Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,Adventure Family Fantasy,the chronicles of narnia: the voyage of the dawn treader,Adventure Family Fantasy the chronicles of narnia: the voyage of the dawn treader Bruce Spence Shane Rangi Laura Brent Michael Apted
Michael Bay,Jennifer Garner,Jaime King,Mako,Action Drama History Romance War,pearl harbor,Action Drama History Romance War pearl harbor Jennifer Garner Jaime King Mako Michael Bay
Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,Action Adventure Sci-Fi,transformers,Action Adventure Sci-Fi transformers Zack Ward Michael O'Neill Kevin Dunn Michael Bay
Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action Adventure Biography Drama History Romance War,alexander,Action Adventure Biography Drama History Romance War alexander Anthony Hopkins Angelina Jolie Pitt Brian Blessed Oliver Stone
David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Adventure Family Fantasy Mystery,harry potter and the order of the phoenix,Adventure Family Fantasy Mystery harry potter and the order of the phoenix Robert Pattinson Daniel Radcliffe Fiona Shaw David Yates
Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,harry potter and the goblet of fire,Adventure Family Fantasy Mystery harry potter and the goblet of fire Robert Pattinson Daniel Radcliffe Rupert Grint Mike Newell
Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,Action Drama,hancock,Action Drama hancock Will Smith Charlize Theron Eddie Marsan Peter Berg
Francis Lawrence,Will Smith,Alice Braga,Willow Smith,Drama Horror Sci-Fi,i am legend,Drama Horror Sci-Fi i am legend Will Smith Alice Braga Willow Smith Francis Lawrence
Tim Burton,Johnny Depp,Christopher Lee,David Kelly,Adventure Comedy Family Fantasy,charlie and the chocolate factory,Adventure Comedy Family Fantasy charlie and the chocolate factory Johnny Depp Christopher Lee David Kelly Tim Burton
Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Animation Comedy Family Fantasy,ratatouille,Animation Comedy Family Fantasy ratatouille Janeane Garofalo John Ratzenberger Brian Dennehy Brad Bird
Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,Action Adventure,batman begins,Action Adventure batman begins Christian Bale Liam Neeson Morgan Freeman Christopher Nolan
Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Action Adventure Animation Comedy Family,madagascar: escape 2 africa,Action Adventure Animation Comedy Family madagascar: escape 2 africa Bernie Mac Jada Pinkett Smith Cedric the Entertainer Eric Darnell
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy,night at the museum: battle of the smithsonian,Adventure Comedy Family Fantasy night at the museum: battle of the smithsonian Robin Williams Rami Malek Steve Coogan Shawn Levy
Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Action Adventure Fantasy Sci-Fi Thriller,x-men origins: wolverine,Action Adventure Fantasy Sci-Fi Thriller x-men origins: wolverine Hugh Jackman Ryan Reynolds Dominic Monaghan Gavin Hood
Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,Action Sci-Fi,the matrix revolutions,Action Sci-Fi the matrix revolutions Essie Davis Collin Chou Nona Gaye Lana Wachowski
Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Adventure Animation Comedy Family Fantasy Musical,frozen,Adventure Animation Comedy Family Fantasy Musical frozen Josh Gad Maurice LaMarche Livvy Stubenrauch Chris Buck
Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Action Sci-Fi,the matrix reloaded,Action Sci-Fi the matrix reloaded Steve Bastoni Daniel Bernhardt Helmut Bakaitis Lana Wachowski
Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,thor: the dark world,Action Adventure Fantasy thor: the dark world Chris Hemsworth Natalie Portman Anthony Hopkins Alan Taylor
George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,Action Adventure Sci-Fi Thriller,mad max: fury road,Action Adventure Sci-Fi Thriller mad max: fury road Tom Hardy Charlize Theron Zoë Kravitz George Miller
Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Mystery Thriller,angels & demons,Mystery Thriller angels & demons Tom Hanks Ayelet Zurer Armin Mueller-Stahl Ron Howard
Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,thor,Action Adventure Fantasy thor Chris Hemsworth Natalie Portman Anthony Hopkins Kenneth Branagh
Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,Adventure Animation Comedy Drama Family,bolt,Adventure Animation Comedy Drama Family bolt Chloë Grace Moretz Diedrich Bader James Lipton Byron Howard
Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Action Adventure Animation Comedy Family Fantasy Sci-Fi,g-force,Action Adventure Animation Comedy Family Fantasy Sci-Fi g-force Kelli Garner Piper Mackenzie Harris Niecy Nash Hoyt Yeatman
Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,Action Adventure Fantasy,wrath of the titans,Action Adventure Fantasy wrath of the titans Liam Neeson Edgar Ramírez Lily James Jonathan Liebesman
Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Comedy Fantasy Horror,dark shadows,Comedy Fantasy Horror dark shadows Johnny Depp Chloë Grace Moretz Christopher Lee Tim Burton
Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,Action Adventure Thriller,mission: impossible - rogue nation,Action Adventure Thriller mission: impossible - rogue nation Tom Cruise Jeremy Renner Sean Harris Christopher McQuarrie
Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,Drama Fantasy Horror Thriller,the wolfman,Drama Fantasy Horror Thriller the wolfman Anthony Hopkins Simon Merrells Art Malik Joe Johnston
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance,the legend of tarzan,Action Adventure Drama Romance the legend of tarzan Christoph Waltz Alexander Skarsgård Casper Crump David Yates
Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,Adventure Animation Comedy Family,bee movie,Adventure Animation Comedy Family bee movie Matthew Broderick Oprah Winfrey Rip Torn Steve Hickner
Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,Action Adventure Animation Comedy Family,kung fu panda 2,Action Adventure Animation Comedy Family kung fu panda 2 Angelina Jolie Pitt Gary Oldman Mike Bell Jennifer Yuh Nelson
